number_1,number_2,full_cond,accuracy,ablated_unit,diff_from_full
plural,plural,plural_plural,0.9983333333333332,301.0,0.0
singular,singular,singular_singular,1.0,537.0,0.0
singular,plural,singular_plural,0.9566666666666668,537.0,0.0
plural,singular,plural_singular,0.9116666666666666,537.0,0.0
plural,plural,plural_plural,0.9983333333333332,537.0,0.0
singular,singular,singular_singular,1.0,1260.0,0.0
singular,plural,singular_plural,0.9566666666666668,1260.0,0.0
plural,singular,plural_singular,0.9116666666666666,1260.0,0.0
plural,plural,plural_plural,0.9983333333333332,1260.0,0.0
singular,singular,singular_singular,1.0,1041.0,0.0
singular,plural,singular_plural,0.9566666666666668,1041.0,0.0
plural,singular,plural_singular,0.91,1041.0,-0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,1041.0,0.0
singular,singular,singular_singular,1.0,51.0,0.0
singular,plural,singular_plural,0.9566666666666668,51.0,0.0
plural,singular,plural_singular,0.9116666666666666,51.0,0.0
plural,plural,plural_plural,0.9983333333333332,51.0,0.0
singular,singular,singular_singular,1.0,998.0,0.0
singular,plural,singular_plural,0.95,998.0,-0.006666666666666821
plural,singular,plural_singular,0.91,998.0,-0.0016666666666665941
plural,plural,plural_plural,0.9966666666666668,998.0,-0.001666666666666372
singular,singular,singular_singular,1.0,203.0,0.0
singular,plural,singular_plural,0.9566666666666668,203.0,0.0
plural,singular,plural_singular,0.9116666666666666,203.0,0.0
plural,plural,plural_plural,0.9983333333333332,203.0,0.0
singular,singular,singular_singular,1.0,520.0,0.0
singular,plural,singular_plural,0.9566666666666668,520.0,0.0
plural,singular,plural_singular,0.9116666666666666,520.0,0.0
plural,plural,plural_plural,0.9983333333333332,520.0,0.0
singular,singular,singular_singular,1.0,267.0,0.0
singular,plural,singular_plural,0.9566666666666668,267.0,0.0
plural,singular,plural_singular,0.9133333333333332,267.0,0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,267.0,0.0
singular,singular,singular_singular,1.0,1117.0,0.0
singular,plural,singular_plural,0.96,1117.0,0.0033333333333331883
plural,singular,plural_singular,0.9,1117.0,-0.011666666666666603
plural,plural,plural_plural,0.9966666666666668,1117.0,-0.001666666666666372
singular,singular,singular_singular,1.0,407.0,0.0
singular,plural,singular_plural,0.9566666666666668,407.0,0.0
plural,singular,plural_singular,0.9083333333333332,407.0,-0.0033333333333334103
plural,plural,plural_plural,0.9983333333333332,407.0,0.0
singular,singular,singular_singular,1.0,1166.0,0.0
singular,plural,singular_plural,0.9666666666666668,1166.0,0.010000000000000009
plural,singular,plural_singular,0.9166666666666666,1166.0,0.0050000000000000044
plural,plural,plural_plural,0.9983333333333332,1166.0,0.0
singular,singular,singular_singular,1.0,131.0,0.0
singular,plural,singular_plural,0.9566666666666668,131.0,0.0
plural,singular,plural_singular,0.9133333333333332,131.0,0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,131.0,0.0
singular,singular,singular_singular,1.0,861.0,0.0
singular,plural,singular_plural,0.9633333333333334,861.0,0.006666666666666599
plural,singular,plural_singular,0.905,861.0,-0.006666666666666599
plural,plural,plural_plural,0.9983333333333332,861.0,0.0
singular,singular,singular_singular,1.0,294.0,0.0
singular,plural,singular_plural,0.955,294.0,-0.0016666666666668162
plural,singular,plural_singular,0.9083333333333332,294.0,-0.0033333333333334103
plural,plural,plural_plural,0.9983333333333332,294.0,0.0
singular,singular,singular_singular,1.0,342.0,0.0
singular,plural,singular_plural,0.955,342.0,-0.0016666666666668162
plural,singular,plural_singular,0.9116666666666666,342.0,0.0
plural,plural,plural_plural,0.9983333333333332,342.0,0.0
singular,singular,singular_singular,1.0,328.0,0.0
singular,plural,singular_plural,0.9566666666666668,328.0,0.0
plural,singular,plural_singular,0.91,328.0,-0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,328.0,0.0
singular,singular,singular_singular,1.0,803.0,0.0
singular,plural,singular_plural,0.95,803.0,-0.006666666666666821
plural,singular,plural_singular,0.9116666666666666,803.0,0.0
plural,plural,plural_plural,0.9983333333333332,803.0,0.0
singular,singular,singular_singular,1.0,656.0,0.0
singular,plural,singular_plural,0.955,656.0,-0.0016666666666668162
plural,singular,plural_singular,0.915,656.0,0.0033333333333334103
plural,plural,plural_plural,0.9983333333333332,656.0,0.0
singular,singular,singular_singular,1.0,640.0,0.0
singular,plural,singular_plural,0.9583333333333334,640.0,0.0016666666666665941
plural,singular,plural_singular,0.91,640.0,-0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,640.0,0.0
singular,singular,singular_singular,1.0,814.0,0.0
singular,plural,singular_plural,0.9566666666666668,814.0,0.0
plural,singular,plural_singular,0.9083333333333332,814.0,-0.0033333333333334103
plural,plural,plural_plural,0.9983333333333332,814.0,0.0
singular,singular,singular_singular,1.0,379.0,0.0
singular,plural,singular_plural,0.9566666666666668,379.0,0.0
plural,singular,plural_singular,0.91,379.0,-0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,379.0,0.0
singular,singular,singular_singular,1.0,138.0,0.0
singular,plural,singular_plural,0.9566666666666668,138.0,0.0
plural,singular,plural_singular,0.9116666666666666,138.0,0.0
plural,plural,plural_plural,0.9983333333333332,138.0,0.0
singular,singular,singular_singular,1.0,1003.0,0.0
singular,plural,singular_plural,0.9583333333333334,1003.0,0.0016666666666665941
plural,singular,plural_singular,0.9016666666666666,1003.0,-0.010000000000000009
plural,plural,plural_plural,0.9966666666666668,1003.0,-0.001666666666666372
singular,singular,singular_singular,1.0,943.0,0.0
singular,plural,singular_plural,0.9583333333333334,943.0,0.0016666666666665941
plural,singular,plural_singular,0.9116666666666666,943.0,0.0
plural,plural,plural_plural,0.9983333333333332,943.0,0.0
singular,singular,singular_singular,1.0,704.0,0.0
singular,plural,singular_plural,0.95,704.0,-0.006666666666666821
plural,singular,plural_singular,0.91,704.0,-0.0016666666666665941
plural,plural,plural_plural,0.9983333333333332,704.0,0.0
singular,singular,singular_singular,1.0,1252.0,0.0
singular,plural,singular_plural,0.9566666666666668,1252.0,0.0
